Date,Country/Region,Confirmed cases,Deaths,Index Price,Index Daily % Change
2020-03-27,Mainland China,81897.0,3296.0,"2,772.20",0.26%
2020-03-26,Mainland China,81782.0,3291.0,"2,764.91",-0.60%
2020-03-25,Mainland China,81661.0,3285.0,"2,781.59",2.17%
2020-03-24,Mainland China,81591.0,3281.0,"2,722.44",2.34%
2020-03-23,Mainland China,81496.0,3274.0,"2,660.17",-3.11%
2020-03-20,Mainland China,81250.0,3253.0,"2,745.62",1.61%
2020-03-19,Mainland China,81156.0,3249.0,"2,702.13",-0.98%
2020-03-18,Mainland China,81102.0,3241.0,"2,728.76",-1.83%
2020-03-17,Mainland China,81058.0,3230.0,"2,779.64",-0.34%
2020-03-16,Mainland China,81033.0,3217.0,"2,789.25",-3.40%
2020-03-13,Mainland China,80945.0,3180.0,"2,887.43",-1.23%
2020-03-12,Mainland China,80932.0,3172.0,"2,923.49",-1.52%
2020-03-12,Mainland China,0.0,0.0,"2,923.49",-1.52%
2020-03-11,Mainland China,80921.0,3161.0,"2,968.52",-0.94%
2020-03-11,Mainland China,0.0,0.0,"2,968.52",-0.94%
2020-03-10,Mainland China,80757.0,3136.0,"2,996.76",1.82%
2020-03-09,Mainland China,80735.0,3120.0,"2,943.29",-3.01%
2020-03-06,Mainland China,80573.0,3042.0,"3,034.51",-1.21%
2020-03-05,Mainland China,80422.0,3013.0,"3,071.68",1.99%
2020-03-04,Mainland China,80271.0,2981.0,"3,011.67",0.63%
2020-03-03,Mainland China,80151.0,2945.0,"2,992.90",0.74%
2020-03-02,Mainland China,80026.0,2912.0,"2,970.93",3.15%
2020-02-28,Mainland China,78824.0,2788.0,"2,880.30",-3.71%
2020-02-27,Mainland China,78498.0,2744.0,"2,991.33",0.11%
2020-02-26,Mainland China,78065.0,2715.0,"2,987.93",-0.83%
2020-02-25,Mainland China,77660.0,2663.0,"3,013.05",-0.60%
2020-02-24,Mainland China,77152.0,2593.0,"3,031.23",-0.28%
2020-02-21,Mainland China,75472.0,2236.0,"3,039.67",0.31%
2020-02-20,Mainland China,74999.0,2236.0,"3,030.15",1.84%
2020-02-19,Mainland China,74546.0,2114.0,"2,975.40",-0.32%
2020-02-18,Mainland China,74139.0,2002.0,"2,984.97",0.05%
2020-02-17,Mainland China,72364.0,1863.0,"2,983.62",2.28%
2020-02-14,Mainland China,66292.0,1520.0,"2,917.01",0.38%
2020-02-13,Mainland China,59832.0,1368.0,"2,906.07",-0.71%
2020-02-12,Mainland China,44699.0,1116.0,"2,926.90",0.87%
2020-02-11,Mainland China,44327.0,1111.0,"2,901.67",0.39%
2020-02-10,Mainland China,42306.0,1011.0,"2,890.49",0.51%
2020-02-07,Mainland China,34075.0,717.0,"2,875.96",0.33%
2020-02-06,Mainland China,30553.0,632.0,"2,866.51",1.72%
2020-02-05,Mainland China,27409.0,562.0,"2,818.09",1.25%
2020-02-04,Mainland China,23680.0,490.0,"2,783.29",1.34%
2020-02-03,Mainland China,19693.0,425.0,"2,746.61",-7.72%
2020-01-23,Mainland China,639.0,18.0,"2,976.53",-2.75%
2020-01-22,Mainland China,547.0,17.0,"3,060.75",0.28%
2020-01-21,Mainland China,,,"3,052.14",-1.41%
2020-01-20,Mainland China,,,"3,095.79",0.66%
2020-01-17,Mainland China,,,"3,075.50",0.05%
2020-01-16,Mainland China,,,"3,074.08",-0.52%
2020-01-15,Mainland China,,,"3,090.04",-0.54%
2020-01-14,Mainland China,,,"3,106.82",-0.28%
2020-01-13,Mainland China,,,"3,115.57",0.75%
2020-01-10,Mainland China,,,"3,092.29",-0.08%
2020-01-09,Mainland China,,,"3,094.88",0.91%
2020-01-08,Mainland China,,,"3,066.89",-1.22%
2020-01-07,Mainland China,,,"3,104.80",0.69%
2020-01-06,Mainland China,,,"3,083.41",-0.01%
2020-01-03,Mainland China,,,"3,083.79",-0.05%
2020-01-02,Mainland China,,,"3,085.20",1.15%
2019-12-31,Mainland China,,,"3,050.12",0.33%
2019-12-30,Mainland China,,,"3,040.02",1.16%
2019-12-27,Mainland China,,,"3,005.04",-0.08%
2019-12-26,Mainland China,,,"3,007.35",0.85%
2019-12-25,Mainland China,,,"2,981.88",-0.03%
2019-12-24,Mainland China,,,"2,982.68",0.67%
2019-12-23,Mainland China,,,"2,962.75",-1.40%
