Date,Country/Region,Confirmed cases,Deaths,Index Price,Index Daily % Change
2020-03-27,South Korea,9332.0,139.0,1717.73,1.87%
2020-03-26,South Korea,9241.0,131.0,1686.24,-1.09%
2020-03-25,South Korea,9137.0,126.0,1704.76,5.89%
2020-03-24,South Korea,9037.0,120.0,1609.97,8.60%
2020-03-23,South Korea,8961.0,111.0,1482.46,-5.34%
2020-03-20,South Korea,8652.0,94.0,1566.15,7.44%
2020-03-19,South Korea,8565.0,91.0,1457.64,-8.39%
2020-03-18,South Korea,8413.0,84.0,1591.2,-4.86%
2020-03-17,South Korea,8320.0,81.0,1672.44,-2.47%
2020-03-16,South Korea,8236.0,75.0,1714.86,-3.19%
2020-03-13,South Korea,7979.0,66.0,1771.44,-3.43%
2020-03-12,South Korea,7869.0,66.0,1834.33,-3.87%
2020-03-11,South Korea,7755.0,60.0,1908.27,-2.78%
2020-03-10,South Korea,7513.0,54.0,1962.93,0.42%
2020-03-09,South Korea,7478.0,53.0,1954.77,-4.19%
2020-03-06,South Korea,6593.0,42.0,2040.22,-2.16%
2020-03-05,South Korea,6088.0,35.0,2085.26,1.26%
2020-03-04,South Korea,5621.0,35.0,2059.33,2.24%
2020-03-03,South Korea,5186.0,28.0,2014.15,0.58%
2020-03-02,South Korea,4335.0,28.0,2002.51,0.78%
2020-02-28,South Korea,2337.0,13.0,1987.01,-3.30%
2020-02-27,South Korea,1766.0,13.0,2054.89,-1.05%
2020-02-26,South Korea,1261.0,12.0,2076.77,-1.28%
2020-02-25,South Korea,977.0,10.0,2103.61,1.18%
2020-02-24,South Korea,833.0,8.0,2079.04,-3.87%
2020-02-21,South Korea,204.0,2.0,2162.84,-1.49%
2020-02-20,South Korea,104.0,1.0,2195.5,-0.67%
2020-02-19,South Korea,31.0,0.0,2210.34,0.07%
2020-02-18,South Korea,31.0,0.0,2208.88,-1.48%
2020-02-17,South Korea,30.0,0.0,2242.17,-0.06%
2020-02-14,South Korea,28.0,0.0,2243.59,0.48%
2020-02-13,South Korea,28.0,0.0,2232.96,-0.24%
2020-02-12,South Korea,28.0,0.0,2238.38,0.69%
2020-02-11,South Korea,28.0,0.0,2223.12,1.00%
2020-02-10,South Korea,27.0,0.0,2201.07,-0.49%
2020-02-07,South Korea,24.0,0.0,2211.95,-0.72%
2020-02-06,South Korea,23.0,0.0,2227.94,2.88%
2020-02-05,South Korea,19.0,0.0,2165.63,0.36%
2020-02-04,South Korea,16.0,0.0,2157.9,1.84%
2020-02-03,South Korea,15.0,0.0,2118.88,-0.01%
2020-01-31,South Korea,11.0,0.0,2119.01,-1.35%
2020-01-30,South Korea,4.0,0.0,2148.0,-1.71%
2020-01-29,South Korea,4.0,0.0,2185.28,0.39%
2020-01-28,South Korea,4.0,0.0,2176.72,-3.09%
2020-01-23,South Korea,1.0,0.0,2246.13,-0.93%
2020-01-22,South Korea,1.0,0.0,2267.25,1.23%
2020-01-21,South Korea,0.0,0.0,2239.69,-1.01%
2020-01-20,South Korea,0.0,0.0,2262.64,0.54%
2020-01-17,South Korea,0.0,0.0,2250.57,0.11%
2020-01-16,South Korea,0.0,0.0,2248.05,0.77%
2020-01-15,South Korea,0.0,0.0,2230.98,-0.35%
2020-01-14,South Korea,0.0,0.0,2238.88,0.43%
2020-01-13,South Korea,0.0,0.0,2229.26,1.04%
2020-01-10,South Korea,0.0,0.0,2206.39,0.91%
2020-01-09,South Korea,0.0,0.0,2186.45,1.63%
2020-01-08,South Korea,0.0,0.0,2151.31,-1.11%
2020-01-07,South Korea,0.0,0.0,2175.54,0.95%
2020-01-06,South Korea,0.0,0.0,2155.07,-0.98%
2020-01-03,South Korea,0.0,0.0,2176.46,0.06%
2020-01-02,South Korea,0.0,0.0,2175.17,-1.02%
2019-12-30,South Korea,0.0,0.0,2197.67,-0.30%
2019-12-27,South Korea,0.0,0.0,2204.21,0.29%
2019-12-26,South Korea,0.0,0.0,2197.93,0.36%
2019-12-24,South Korea,0.0,0.0,2190.08,-0.62%
2019-12-23,South Korea,0.0,0.0,2203.71,-0.02%
