Date,Price,Change %
2019-12-27,"23,757.60",-0.59%
2019-12-30,"23,506.37",-1.06%
2020-01-02,"23,836.26",1.40%
2020-01-03,"23,702.35",-0.56%
2020-01-06,"23,581.29",-0.51%
2020-01-07,"23,723.38",0.60%
2020-01-08,"23,832.02",0.46%
2020-01-09,"24,016.70",0.77%
2020-01-10,"24,021.40",0.02%
2020-01-13,"23,896.59",-0.52%
2020-01-14,"23,928.21",0.13%
2020-01-15,"23,763.86",-0.69%
2020-01-16,"23,940.41",0.74%
2020-01-17,"24,141.07",0.84%
2020-01-20,"24,002.45",-0.57%
2020-01-21,"23,845.28",-0.65%
2020-01-22,"23,706.29",-0.58%
2020-01-23,"23,707.05",0.00%
2020-01-24,"23,969.13",1.11%
2020-01-27,"23,416.13",-2.31%
2020-01-28,"24,027.63",2.61%
2020-01-29,"24,164.73",0.57%
2020-01-30,"23,781.10",-1.59%
2020-01-31,"23,237.03",-2.29%
2020-02-03,"23,460.01",0.96%
2020-02-04,"23,844.85",1.64%
2020-02-05,"24,236.63",1.64%
2020-02-06,"24,490.35",1.05%
2020-02-07,"24,478.32",-0.05%
2020-02-10,"24,507.70",0.12%
2020-02-11,"24,688.89",0.74%
2020-02-12,"24,861.28",0.70%
2020-02-13,"24,892.15",0.12%
2020-02-14,"24,867.01",-0.10%
2020-02-17,"25,120.54",1.02%
2020-02-18,"25,223.51",0.41%
2020-02-19,"25,477.55",1.01%
2020-02-20,"25,080.16",-1.56%
2020-02-21,"24,773.15",-1.22%
2020-02-24,"23,427.19",-5.43%
2020-02-25,"23,090.44",-1.44%
2020-02-26,"23,422.54",1.44%
2020-02-27,"22,799.37",-2.66%
2020-02-28,"21,984.21",-3.58%
2020-03-02,"21,655.09",-1.50%
2020-03-03,"21,748.20",0.43%
2020-03-04,"21,946.03",0.91%
2020-03-05,"21,554.88",-1.78%
2020-03-06,"20,799.89",-3.50%
2020-03-09,"18,475.91",-11.17%
2020-03-10,"17,870.18",-3.28%
2020-03-11,"17,928.64",0.33%
2020-03-12,"14,894.44",-16.92%
2020-03-13,"15,954.29",7.12%
2020-03-16,"14,980.34",-6.10%
2020-03-17,"15,314.77",2.23%
2020-03-18,"15,120.48",-1.27%
2020-03-19,"15,466.97",2.29%
2020-03-20,"15,731.85",1.71%
2020-03-23,"15,559.80",-1.09%
2020-03-24,"16,948.60",8.93%
2020-03-25,"17,243.68",1.74%
2020-03-26,"17,369.38",0.73%
2020-03-27,"16,822.59",-3.15%
