Date,Country/Region,Confirmed cases,Deaths
2020-03-27,Total,279384.0,14150.0
2020-03-26,Total,255448.0,12846.0
2020-03-25,Total,230962.0,11856.0
2020-03-24,Total,213544.0,10927.0
2020-03-23,Total,198051.0,10014.0
2020-03-22,Total,183178.0,9272.0
2020-03-21,Total,169175.0,8493.0
2020-03-20,Total,156024.0,7623.0
2020-03-19,Total,144436.0,6945.0
2020-03-18,Total,133014.0,6421.0
2020-03-17,Total,127305.0,5922.0
2020-03-16,Total,121881.0,5535.0
2020-03-15,Total,117411.0,5150.0
2020-03-14,Total,112946.0,4760.0
2020-03-13,Total,108763.0,4559.0
2020-03-12,Total,102926.0,4105.0
2020-03-11,Total,102419.0,4084.0
2020-03-10,Total,99378.0,3849.0
2020-03-09,Total,97990.0,3658.0
2020-03-08,Total,95925.0,3534.0
2020-03-07,Total,93993.0,3364.0
2020-03-06,Total,92080.0,3295.0
2020-03-05,Total,90589.0,3208.0
2020-03-04,Total,89134.0,3134.0
2020-03-03,Total,87961.0,3059.0
2020-03-02,Total,86498.0,2998.0
2020-03-01,Total,85332.0,2922.0
2020-02-29,Total,83599.0,2881.0
2020-02-28,Total,82111.0,2822.0
2020-02-27,Total,80979.0,2774.0
2020-02-26,Total,79838.0,2739.0
2020-02-25,Total,79012.0,2683.0
2020-02-24,Total,78267.0,2608.0
2020-02-23,Total,77730.0,2452.0
2020-02-22,Total,77452.0,2445.0
2020-02-21,Total,75731.0,2239.0
2020-02-20,Total,75121.0,2237.0
2020-02-19,Total,74595.0,2114.0
2020-02-18,Total,74188.0,2002.0
2020-02-17,Total,72412.0,1863.0
2020-02-16,Total,70493.0,1765.0
2020-02-15,Total,68393.0,1662.0
2020-02-14,Total,66338.0,1520.0
2020-02-13,Total,59878.0,1368.0
2020-02-12,Total,44743.0,1116.0
2020-02-11,Total,44371.0,1111.0
2020-02-10,Total,42348.0,1011.0
2020-02-09,Total,39830.0,904.0
2020-02-08,Total,36817.0,804.0
2020-02-07,Total,34114.0,717.0
2020-02-06,Total,30590.0,632.0
2020-02-05,Total,27442.0,562.0
2020-02-04,Total,23709.0,490.0
2020-02-03,Total,19721.0,425.0
2020-02-02,Total,16632.0,361.0
2020-02-01,Total,11893.0,259.0
2020-01-31,Total,9802.0,213.0
2020-01-30,Total,8133.0,171.0
2020-01-29,Total,6079.0,133.0
2020-01-28,Total,5503.0,131.0
2020-01-27,Total,2872.0,82.0
2020-01-26,Total,2070.0,56.0
2020-01-25,Total,1403.0,42.0
2020-01-24,Total,920.0,26.0
2020-01-23,Total,641.0,18.0
2020-01-22,Total,549.0,17.0
