,date,Country/Region,Confirmed,Deaths
527,2020-03-27,Total,279384.0,14150.0
526,2020-03-27,Republic of Korea,0.0,0.0
525,2020-03-27,"Korea, South",9332.0,139.0
524,2020-03-27,China,81897.0,3296.0
523,2020-03-27,Italy,86498.0,9134.0
522,2020-03-27,South Korea,0.0,0.0
521,2020-03-27,Mainland China,0.0,0.0
520,2020-03-27,US,101657.0,1581.0
519,2020-03-26,Total,255448.0,12846.0
518,2020-03-26,Republic of Korea,0.0,0.0
517,2020-03-26,"Korea, South",9241.0,131.0
516,2020-03-26,China,81782.0,3291.0
515,2020-03-26,Italy,80589.0,8215.0
514,2020-03-26,South Korea,0.0,0.0
513,2020-03-26,Mainland China,0.0,0.0
512,2020-03-26,US,83836.0,1209.0
511,2020-03-25,Total,230962.0,11856.0
510,2020-03-25,Republic of Korea,0.0,0.0
509,2020-03-25,"Korea, South",9137.0,126.0
508,2020-03-25,China,81661.0,3285.0
507,2020-03-25,Italy,74386.0,7503.0
506,2020-03-25,South Korea,0.0,0.0
505,2020-03-25,Mainland China,0.0,0.0
504,2020-03-25,US,65778.0,942.0
503,2020-03-24,Total,213544.0,10927.0
502,2020-03-24,Republic of Korea,0.0,0.0
501,2020-03-24,"Korea, South",9037.0,120.0
500,2020-03-24,China,81591.0,3281.0
499,2020-03-24,Italy,69176.0,6820.0
498,2020-03-24,South Korea,0.0,0.0
497,2020-03-24,Mainland China,0.0,0.0
496,2020-03-24,US,53740.0,706.0
495,2020-03-23,Total,198051.0,10014.0
494,2020-03-23,Republic of Korea,0.0,0.0
493,2020-03-23,"Korea, South",8961.0,111.0
492,2020-03-23,China,81496.0,3274.0
491,2020-03-23,Italy,63927.0,6077.0
490,2020-03-23,South Korea,0.0,0.0
489,2020-03-23,Mainland China,0.0,0.0
488,2020-03-23,US,43667.0,552.0
487,2020-03-22,Total,183178.0,9272.0
486,2020-03-22,Republic of Korea,0.0,0.0
485,2020-03-22,"Korea, South",8897.0,104.0
484,2020-03-22,China,81397.0,3265.0
483,2020-03-22,Italy,59138.0,5476.0
482,2020-03-22,South Korea,0.0,0.0
481,2020-03-22,Mainland China,0.0,0.0
480,2020-03-22,US,33746.0,427.0
479,2020-03-21,Total,169175.0,8493.0
478,2020-03-21,Republic of Korea,0.0,0.0
477,2020-03-21,"Korea, South",8799.0,102.0
476,2020-03-21,China,81305.0,3259.0
475,2020-03-21,Italy,53578.0,4825.0
474,2020-03-21,South Korea,0.0,0.0
473,2020-03-21,Mainland China,0.0,0.0
472,2020-03-21,US,25493.0,307.0
471,2020-03-20,Total,156024.0,7623.0
470,2020-03-20,Republic of Korea,0.0,0.0
469,2020-03-20,"Korea, South",8652.0,94.0
468,2020-03-20,China,81250.0,3253.0
467,2020-03-20,Italy,47021.0,4032.0
466,2020-03-20,South Korea,0.0,0.0
465,2020-03-20,Mainland China,0.0,0.0
464,2020-03-20,US,19101.0,244.0
463,2020-03-19,Total,144436.0,6945.0
462,2020-03-19,Republic of Korea,0.0,0.0
461,2020-03-19,"Korea, South",8565.0,91.0
460,2020-03-19,China,81156.0,3249.0
459,2020-03-19,Italy,41035.0,3405.0
458,2020-03-19,South Korea,0.0,0.0
457,2020-03-19,Mainland China,0.0,0.0
456,2020-03-19,US,13680.0,200.0
455,2020-03-18,Total,133014.0,6421.0
454,2020-03-18,Republic of Korea,0.0,0.0
453,2020-03-18,"Korea, South",8413.0,84.0
