Date,Price,Change %
2020-03-27,"1,717.73",1.87%
2020-03-26,"1,686.24",-1.09%
2020-03-25,"1,704.76",5.89%
2020-03-24,"1,609.97",8.60%
2020-03-23,"1,482.46",-5.34%
2020-03-20,"1,566.15",7.44%
2020-03-19,"1,457.64",-8.39%
2020-03-18,"1,591.20",-4.86%
2020-03-17,"1,672.44",-2.47%
2020-03-16,"1,714.86",-3.19%
2020-03-13,"1,771.44",-3.43%
2020-03-12,"1,834.33",-3.87%
2020-03-11,"1,908.27",-2.78%
2020-03-10,"1,962.93",0.42%
2020-03-09,"1,954.77",-4.19%
2020-03-06,"2,040.22",-2.16%
2020-03-05,"2,085.26",1.26%
2020-03-04,"2,059.33",2.24%
2020-03-03,"2,014.15",0.58%
2020-03-02,"2,002.51",0.78%
2020-02-28,"1,987.01",-3.30%
2020-02-27,"2,054.89",-1.05%
2020-02-26,"2,076.77",-1.28%
2020-02-25,"2,103.61",1.18%
2020-02-24,"2,079.04",-3.87%
2020-02-21,"2,162.84",-1.49%
2020-02-20,"2,195.50",-0.67%
2020-02-19,"2,210.34",0.07%
2020-02-18,"2,208.88",-1.48%
2020-02-17,"2,242.17",-0.06%
2020-02-14,"2,243.59",0.48%
2020-02-13,"2,232.96",-0.24%
2020-02-12,"2,238.38",0.69%
2020-02-11,"2,223.12",1.00%
2020-02-10,"2,201.07",-0.49%
2020-02-07,"2,211.95",-0.72%
2020-02-06,"2,227.94",2.88%
2020-02-05,"2,165.63",0.36%
2020-02-04,"2,157.90",1.84%
2020-02-03,"2,118.88",-0.01%
2020-01-31,"2,119.01",-1.35%
2020-01-30,"2,148.00",-1.71%
2020-01-29,"2,185.28",0.39%
2020-01-28,"2,176.72",-3.09%
2020-01-23,"2,246.13",-0.93%
2020-01-22,"2,267.25",1.23%
2020-01-21,"2,239.69",-1.01%
2020-01-20,"2,262.64",0.54%
2020-01-17,"2,250.57",0.11%
2020-01-16,"2,248.05",0.77%
2020-01-15,"2,230.98",-0.35%
2020-01-14,"2,238.88",0.43%
2020-01-13,"2,229.26",1.04%
2020-01-10,"2,206.39",0.91%
2020-01-09,"2,186.45",1.63%
2020-01-08,"2,151.31",-1.11%
2020-01-07,"2,175.54",0.95%
2020-01-06,"2,155.07",-0.98%
2020-01-03,"2,176.46",0.06%
2020-01-02,"2,175.17",-1.02%
2019-12-30,"2,197.67",-0.30%
2019-12-27,"2,204.21",0.29%
2019-12-26,"2,197.93",0.36%
2019-12-24,"2,190.08",-0.62%
2019-12-23,"2,203.71",-0.02%
