Date,Country/Region,Confirmed cases,Deaths,Index Price,Index Daily % Change
2019-12-27,Italy,0.0,0.0,23757.6,-0.59
2019-12-30,Italy,0.0,0.0,23506.37,-1.06
2020-01-02,Italy,0.0,0.0,23836.26,1.4
2020-01-03,Italy,0.0,0.0,23702.35,-0.56
2020-01-06,Italy,0.0,0.0,23581.29,-0.51
2020-01-07,Italy,0.0,0.0,23723.38,0.6
2020-01-08,Italy,0.0,0.0,23832.02,0.46
2020-01-09,Italy,0.0,0.0,24016.7,0.77
2020-01-10,Italy,0.0,0.0,24021.4,0.02
2020-01-13,Italy,0.0,0.0,23896.59,-0.52
2020-01-14,Italy,0.0,0.0,23928.21,0.13
2020-01-15,Italy,0.0,0.0,23763.86,-0.69
2020-01-16,Italy,0.0,0.0,23940.41,0.74
2020-01-17,Italy,0.0,0.0,24141.07,0.84
2020-01-20,Italy,0.0,0.0,24002.45,-0.57
2020-01-21,Italy,0.0,0.0,23845.28,-0.65
2020-01-22,Italy,0.0,0.0,23706.29,-0.58
2020-01-23,Italy,0.0,0.0,23707.05,0.0
2020-01-24,Italy,0.0,0.0,23969.13,1.11
2020-01-27,Italy,0.0,0.0,23416.13,-2.31
2020-01-28,Italy,0.0,0.0,24027.63,2.61
2020-01-29,Italy,0.0,0.0,24164.73,0.57
2020-01-30,Italy,0.0,0.0,23781.1,-1.59
2020-01-31,Italy,2.0,0.0,23237.03,-2.29
2020-02-03,Italy,2.0,0.0,23460.01,0.96
2020-02-04,Italy,2.0,0.0,23844.85,1.64
2020-02-05,Italy,2.0,0.0,24236.63,1.64
2020-02-06,Italy,2.0,0.0,24490.35,1.05
2020-02-07,Italy,3.0,0.0,24478.32,-0.05
2020-02-10,Italy,3.0,0.0,24507.7,0.12
2020-02-11,Italy,3.0,0.0,24688.89,0.74
2020-02-12,Italy,3.0,0.0,24861.28,0.7
2020-02-13,Italy,3.0,0.0,24892.15,0.12
2020-02-14,Italy,3.0,0.0,24867.01,-0.1
2020-02-17,Italy,3.0,0.0,25120.54,1.02
2020-02-18,Italy,3.0,0.0,25223.51,0.41
2020-02-19,Italy,3.0,0.0,25477.55,1.01
2020-02-20,Italy,3.0,0.0,25080.16,-1.56
2020-02-21,Italy,20.0,1.0,24773.15,-1.22
2020-02-24,Italy,229.0,7.0,23427.19,-5.43
2020-02-25,Italy,322.0,10.0,23090.44,-1.44
2020-02-26,Italy,453.0,12.0,23422.54,1.44
2020-02-27,Italy,655.0,17.0,22799.37,-2.66
2020-02-28,Italy,888.0,21.0,21984.21,-3.58
2020-03-02,Italy,2036.0,52.0,21655.09,-1.5
2020-03-03,Italy,2502.0,79.0,21748.2,0.43
2020-03-04,Italy,3089.0,107.0,21946.03,0.91
2020-03-05,Italy,3858.0,148.0,21554.88,-1.78
2020-03-06,Italy,4636.0,197.0,20799.89,-3.5
2020-03-09,Italy,9172.0,463.0,18475.91,-11.17
2020-03-10,Italy,10149.0,631.0,17870.18,-3.28
2020-03-11,Italy,12462.0,827.0,17928.64,0.33
2020-03-12,Italy,12462.0,827.0,14894.44,-16.92
2020-03-13,Italy,17660.0,1266.0,15954.29,7.12
2020-03-16,Italy,27980.0,2158.0,14980.34,-6.1
2020-03-17,Italy,31506.0,2503.0,15314.77,2.23
2020-03-18,Italy,35713.0,2978.0,15120.48,-1.27
2020-03-19,Italy,41035.0,3405.0,15466.97,2.29
2020-03-20,Italy,47021.0,4032.0,15731.85,1.71
2020-03-23,Italy,63927.0,6077.0,15559.8,-1.09
2020-03-24,Italy,69176.0,6820.0,16948.6,8.93
2020-03-25,Italy,74386.0,7503.0,17243.68,1.74
2020-03-26,Italy,80589.0,8215.0,17369.38,0.73
2020-03-27,Italy,86498.0,9134.0,16822.59,-3.15
2020-03-30,Italy,101739.0,11591.0,16872.41,0.3
2020-03-31,Italy,105792.0,12428.0,17050.94,1.06
2020-04-01,Italy,110574.0,13155.0,16544.97,-2.97
