Date,Country/Region,Confirmed cases,Deaths,Index Price,Index Daily % Change
12/23/2019,Mainland China,0,0,2962.75,-1.4
12/24/2019,Mainland China,0,0,2982.68,0.67
12/25/2019,Mainland China,0,0,2981.88,-0.03
12/26/2019,Mainland China,0,0,3007.35,0.85
12/27/2019,Mainland China,0,0,3005.04,-0.08
12/30/2019,Mainland China,0,0,3040.02,1.16
12/31/2019,Mainland China,0,0,3050.12,0.33
1/2/2020,Mainland China,0,0,3085.2,1.15
1/3/2020,Mainland China,0,0,3083.79,-0.05
1/6/2020,Mainland China,0,0,3083.41,-0.01
1/7/2020,Mainland China,0,0,3104.8,0.69
1/8/2020,Mainland China,0,0,3066.89,-1.22
1/9/2020,Mainland China,0,0,3094.88,0.91
1/10/2020,Mainland China,0,0,3092.29,-0.08
1/13/2020,Mainland China,0,0,3115.57,0.75
1/14/2020,Mainland China,0,0,3106.82,-0.28
1/15/2020,Mainland China,0,0,3090.04,-0.54
1/16/2020,Mainland China,0,0,3074.08,-0.52
1/17/2020,Mainland China,0,0,3075.5,0.05
1/20/2020,Mainland China,0,0,3095.79,0.66
1/21/2020,Mainland China,0,0,3052.14,-1.41
1/22/2020,Mainland China,547,17,3060.75,0.28
1/23/2020,Mainland China,639,18,2976.53,-2.75
2/3/2020,Mainland China,19693,425,2746.61,-7.72
2/4/2020,Mainland China,23680,490,2783.29,1.34
2/5/2020,Mainland China,27409,562,2818.09,1.25
2/6/2020,Mainland China,30553,632,2866.51,1.72
2/7/2020,Mainland China,34075,717,2875.96,0.33
2/10/2020,Mainland China,42306,1011,2890.49,0.51
2/11/2020,Mainland China,44327,1111,2901.67,0.39
2/12/2020,Mainland China,44699,1116,2926.9,0.87
2/13/2020,Mainland China,59832,1368,2906.07,-0.71
2/14/2020,Mainland China,66292,1520,2917.01,0.38
2/17/2020,Mainland China,72364,1863,2983.62,2.28
2/18/2020,Mainland China,74139,2002,2984.97,0.05
2/19/2020,Mainland China,74546,2114,2975.4,-0.32
2/20/2020,Mainland China,74999,2236,3030.15,1.84
2/21/2020,Mainland China,75472,2236,3039.67,0.31
2/24/2020,Mainland China,77152,2593,3031.23,-0.28
2/25/2020,Mainland China,77660,2663,3013.05,-0.6
2/26/2020,Mainland China,78065,2715,2987.93,-0.83
2/27/2020,Mainland China,78498,2744,2991.33,0.11
2/28/2020,Mainland China,78824,2788,2880.3,-3.71
3/2/2020,Mainland China,80026,2912,2970.93,3.15
3/3/2020,Mainland China,80151,2945,2992.9,0.74
3/4/2020,Mainland China,80271,2981,3011.67,0.63
3/5/2020,Mainland China,80422,3013,3071.68,1.99
3/6/2020,Mainland China,80573,3042,3034.51,-1.21
3/9/2020,Mainland China,80735,3120,2943.29,-3.01
3/10/2020,Mainland China,80757,3136,2996.76,1.82
3/11/2020,Mainland China,0,0,2968.52,-0.94
3/11/2020,Mainland China,80921,3161,2968.52,-0.94
3/12/2020,Mainland China,0,0,2923.49,-1.52
3/12/2020,Mainland China,80932,3172,2923.49,-1.52
3/13/2020,Mainland China,80945,3180,2887.43,-1.23
3/16/2020,Mainland China,81033,3217,2789.25,-3.4
3/17/2020,Mainland China,81058,3230,2779.64,-0.34
3/18/2020,Mainland China,81102,3241,2728.76,-1.83
3/19/2020,Mainland China,81156,3249,2702.13,-0.98
3/20/2020,Mainland China,81250,3253,2745.62,1.61
3/23/2020,Mainland China,81496,3274,2660.17,-3.11
3/24/2020,Mainland China,81591,3281,2722.44,2.34
3/25/2020,Mainland China,81661,3285,2781.59,2.17
3/26/2020,Mainland China,81782,3291,2764.91,-0.6
3/27/2020,Mainland China,81897,3296,2772.2,0.26
3/30/2020,Mainland China,82198,3308,2747.21,-0.9
3/31/2020,Mainland China,82279,3309,2750.3,0.11
4/1/2020,Mainland China,82361,3316,2734.52,-0.57
4/2/2020,Mainland China,82432,3322,2780.64,1.69
