Date,Country/Region,Confirmed cases,Deaths
2020-01-22,Total,549.0,17.0
2020-01-23,Total,641.0,18.0
2020-01-24,Total,920.0,26.0
2020-01-25,Total,1403.0,42.0
2020-01-26,Total,2070.0,56.0
2020-01-27,Total,2872.0,82.0
2020-01-28,Total,5503.0,131.0
2020-01-29,Total,6079.0,133.0
2020-01-30,Total,8133.0,171.0
2020-01-31,Total,9802.0,213.0
2020-02-01,Total,11893.0,259.0
2020-02-02,Total,16632.0,361.0
2020-02-03,Total,19721.0,425.0
2020-02-04,Total,23709.0,490.0
2020-02-05,Total,27442.0,562.0
2020-02-06,Total,30590.0,632.0
2020-02-07,Total,34114.0,717.0
2020-02-08,Total,36817.0,804.0
2020-02-09,Total,39830.0,904.0
2020-02-10,Total,42348.0,1011.0
2020-02-11,Total,44371.0,1111.0
2020-02-12,Total,44743.0,1116.0
2020-02-13,Total,59878.0,1368.0
2020-02-14,Total,66338.0,1520.0
2020-02-15,Total,68393.0,1662.0
2020-02-16,Total,70493.0,1765.0
2020-02-17,Total,72412.0,1863.0
2020-02-18,Total,74188.0,2002.0
2020-02-19,Total,74595.0,2114.0
2020-02-20,Total,75121.0,2237.0
2020-02-21,Total,75731.0,2239.0
2020-02-22,Total,77452.0,2445.0
2020-02-23,Total,77730.0,2452.0
2020-02-24,Total,78267.0,2608.0
2020-02-25,Total,79012.0,2683.0
2020-02-26,Total,79838.0,2739.0
2020-02-27,Total,80979.0,2774.0
2020-02-28,Total,82111.0,2822.0
2020-02-29,Total,83599.0,2881.0
2020-03-01,Total,85332.0,2922.0
2020-03-02,Total,86498.0,2998.0
2020-03-03,Total,87961.0,3059.0
2020-03-04,Total,89134.0,3134.0
2020-03-05,Total,90589.0,3208.0
2020-03-06,Total,92080.0,3295.0
2020-03-07,Total,93993.0,3364.0
2020-03-08,Total,95925.0,3534.0
2020-03-09,Total,97990.0,3658.0
2020-03-10,Total,99378.0,3849.0
2020-03-11,Total,102419.0,4084.0
2020-03-12,Total,102926.0,4105.0
2020-03-13,Total,108763.0,4559.0
2020-03-14,Total,112946.0,4760.0
2020-03-15,Total,117411.0,5150.0
2020-03-16,Total,121881.0,5535.0
2020-03-17,Total,127305.0,5922.0
2020-03-18,Total,133014.0,6421.0
2020-03-19,Total,144436.0,6945.0
2020-03-20,Total,156024.0,7623.0
2020-03-21,Total,169175.0,8493.0
2020-03-22,Total,183178.0,9272.0
2020-03-23,Total,198051.0,10014.0
2020-03-24,Total,213544.0,10927.0
2020-03-25,Total,230962.0,11856.0
2020-03-26,Total,255448.0,12846.0
2020-03-27,Total,279384.0,14150.0
2020-03-28,Total,305427.0,15492.0
2020-03-29,Total,330280.0,16702.0
2020-03-30,Total,355405.0,18035.0
2020-03-31,Total,386029.0,19772.0
2020-04-01,Total,416194.0,21393.0
2020-04-02,Total,451103.0,23332.0
2020-04-03,Total,487986.0,25268.0
2020-04-04,Total,526181.0,27276.0
2020-04-05,Total,558859.0,29022.0
2020-04-06,Total,592163.0,30827.0
2020-04-07,Total,624858.0,33376.0
2020-04-08,Total,661667.0,35901.0
2020-04-09,Total,698369.0,38300.0
2020-04-10,Total,737503.0,40983.0
2020-04-11,Total,772161.0,43485.0
2020-04-12,Total,805322.0,45476.0
2020-04-13,Total,833885.0,47556.0
2020-04-14,Total,864028.0,50466.0
2020-04-15,Total,895452.0,53541.0
2020-04-16,Total,930758.0,58661.0
2020-04-17,Total,966535.0,64384.0
2020-04-18,Total,1002562.0,66759.0
2020-04-19,Total,1032524.0,69191.0
2020-04-20,Total,1060045.0,71080.0
2020-04-21,Total,1090358.0,73965.0
2020-04-22,Total,1122109.0,76581.0
2020-04-23,Total,1153735.0,80379.0
2020-04-24,Total,1192944.0,82794.0
2020-04-25,Total,1228142.0,85017.0
2020-04-26,Total,1258108.0,86405.0
2020-04-27,Total,1282281.0,88117.0
2020-04-28,Total,1308788.0,90597.0
